"x","y","u"
1.1,8.9,131.358146
1.1,9,131.322072
1.1,9.1,131.288274
1.1,9.2,131.25662
1.1,9.3,131.226983
1.1,9.4,131.199245
1.1,9.5,131.173292
1.1,9.6,131.149016
1.1,9.7,131.126315
1.1,9.8,131.105093
1.1,9.9,131.08526
1.1,10,131.066729
1.2,1.3,133.194568
1.2,1.4,134.547322
1.2,1.5,135.760217
1.2,1.6,136.840768
1.2,1.7,137.796434
1.2,1.8,138.634593
1.2,1.9,139.362517
1.2,2,139.987348
1.2,2.1,140.516075
1.2,2.2,140.955514
1.2,2.3,141.312289
1.2,2.4,141.592816
1.2,2.5,141.803285
1.2,2.6,141.949653
1.2,2.7,142.03763
1.2,2.8,142.072668
1.2,2.9,142.05996
1.2,3,142.004431
1.2,3.1,141.910738
1.2,3.2,141.783268
1.2,3.3,141.626139
1.2,3.4,141.443202
1.2,3.5,141.238047
1.2,3.6,141.014007
1.2,3.7,140.774162
1.2,3.8,140.521351
1.2,3.9,140.258178
1.2,4,139.987021
1.2,4.1,139.710042
1.2,4.2,139.429198
1.2,4.3,139.146251
1.2,4.4,138.862778
1.2,4.5,138.580183
1.2,4.6,138.299707
1.2,4.7,138.02244
1.2,4.8,137.749331
1.2,4.9,137.481198
1.2,5,137.218739
1.2,5.1,136.96254
1.2,5.2,136.713088
1.2,5.3,136.470776
1.2,5.4,136.235913
1.2,5.5,136.008735
1.2,5.6,135.789407
1.2,5.7,135.578035
1.2,5.8,135.374672
1.2,5.9,135.179321
1.2,6,134.991944
1.2,6.1,134.812467
1.2,6.2,134.640784
1.2,6.3,134.476761
1.2,6.4,134.320242
1.2,6.5,134.171051
1.2,6.6,134.028998
1.2,6.7,133.893877
1.2,6.8,133.765476
1.2,6.9,133.643571
1.2,7,133.527936
1.2,7.1,133.41834
1.2,7.2,133.314551
1.2,7.3,133.216336
1.2,7.4,133.123464
1.2,7.5,133.035707
1.2,7.6,132.952837
1.2,7.7,132.874633
1.2,7.8,132.800878
1.2,7.9,132.73136
1.2,8,132.665873
1.2,8.1,132.604216
1.2,8.2,132.546197
